estimand,estimate,ci_low,ci_high
G_R,1.2930450524485018,1.2225034853326355,1.3606323998239185
G_N,0.8237383006548002,0.7697479301697265,0.87806520076552
G_O,0.3506161525825926,0.325623948006796,0.3759740337174385
lambda_D,0.47312214807220765,0.41825162902027535,0.5290377913931992
delta_RN,0.4693067517937015,0.412966403551252,0.5244884268759006
delta_RO,0.9424288998659092,0.8757981204394609,1.0111766703531628
