estimand,point_estimate,bootstrap_mean,bootstrap_SE,CI_low,CI_high,bootstrap_B,seed,provenance_grade
G_R,1.7352488559391606,1.7347591295362272,0.05693697513144129,1.625051493884776,1.8461504573631342,10000,20260831,B+
G_N,1.3594437314141823,1.36001123765313,0.044850321696391554,1.2752214101640984,1.4523902206212518,10000,20260831,B+
G_O,0.6094217614981414,0.6093384377367985,0.04808923668685757,0.5160482451358747,0.7042240588197555,10000,20260831,B+
lambda_D,0.7500219699160409,0.7506727999163313,0.056475106008448225,0.6372382892010284,0.8622875806468993,10000,20260831,B+
delta_RN,0.3758051245249783,0.3747478918830973,0.051576638951487286,0.2736853275277925,0.4763482910951673,10000,20260831,B+
delta_RO,1.1258270944410191,1.1254206917994287,0.06529897133351087,0.9953631557371482,1.2518046229903588,10000,20260831,B+
